Name of School,School ID,Family Involvement Score,Teachers Score,Adequate Yearly Progress Made?,Parent Engagement Score,Average Student Attendance,Average Teacher Attendance,"Elementary, Middle, or High School"
Donald Morrill Math & Science Elementary School,610077,25,32,No,44,93.4,94.8,ES
Laughlin Falconer Elementary School,609910,24,30,No,49,96.1,97.0,ES
Rufus M Hitch Elementary School,609995,77,70,No,55,95.1,96.6,ES
James Weldon Johnson Elementary School,610274,38,66,No,51,94.7,97.5,ES
Stephen Decatur Classical Elementary School,609880,99,99,Yes,52,96.2,95.4,ES
Edward C Delano Elementary School,609881,64,79,No,55,93.4,94.7,ES
Horace Greeley Elementary School,609850,,,No,52,95.9,96.0,ES
Lorenz Brentano Math & Science Academy Elementary School,609809,47,32,No,,94.7,97.7,ES
Charles S Brownell Elementary School,609813,16,19,No,48,92.8,95.5,ES
William K New Sullivan Elementary School,610193,42,33,No,47,90.3,94.0,ES
George Washington Carver Military Academy High School,609760,,,No,,91.6,96.4,HS
William C Goudy Elementary School,609945,52,52,No,,96.1,95.8,ES
Sharon Christa McAuliffe Elementary School,609968,,,No,52,93.9,95.7,ES
Wendell Phillips Academy High School,609727,71,79,No,,63.0,96.1,HS
Stephen F Gale Elementary Community Academy,609933,31,29,No,45,92.1,95.2,ES
William H Ray Elementary School,610142,,,Yes,50,95.1,94.9,ES
Harriet E Sayre Elementary Language Academy,610158,,,No,44,96.2,96.6,ES
Cyrus H McCormick Elementary School,610063,60,54,No,52,95.9,95.9,ES
Nathaniel Pope Elementary School,610134,,,No,,91.6,95.8,ES
VOISE Academy High School,610518,,,No,,84.5,96.5,HS
Robert Healy Elementary School,609979,,,No,,96.6,97.1,ES
Frazier Prospective IB Magnet Elementary School,610503,55,55,Yes,66,96.8,96.6,ES
Alexander von Humboldt Elementary School,610210,,,No,43,92.5,96.0,ES
Edward N Hurley Elementary School,610006,56,54,No,49,95.4,94.9,ES
Austin O Sexton Elementary School,610169,,,No,46,90.5,94.1,ES
Mary McLeod Bethune Elementary School,610365,47,46,No,56,93.3,97.6,ES
Thomas Chalmers Specialty Elementary School,609851,76,78,No,,94.4,97.3,ES
Elihu Yale Elementary School,610233,35,,No,49,89.7,97.0,ES
Charles P Caldwell Academy of Math & Science Elementary School,609833,31,25,No,44,92.7,94.7,ES
Edward K Ellington Elementary School,609904,,,No,49,93.3,97.3,ES
Louis Nettelhorst Elementary School,610094,,,Yes,,95.5,95.9,ES
Irvin C Mollison Elementary School,610276,,,No,52,91.1,94.3,ES
DeVry University Advantage Academy High School,610402,,,No,58,96.7,94.5,HS
James E McDade Elementary Classical School,610066,,,Yes,61,96.2,94.3,ES
Adlai E Stevenson Elementary School,610185,,,No,47,95.7,94.7,ES
John Barry Elementary School,609789,49,41,No,51,95.1,96.1,ES
Mark Skinner Elementary School,610177,,,Yes,,97.1,94.9,ES
Guglielmo Marconi Elementary Community Academy,610241,,,No,52,91.5,96.5,ES
Thomas Kelly High School,609715,53,57,No,,89.3,95.3,HS
Joseph Kellman Corporate Community Elementary School,609925,68,50,No,59,95.2,95.8,ES
William F Finkl Elementary School,609967,60,56,No,49,95.2,96.9,ES
Near North Elementary School,610085,,,,,80.2,94.8,ES
William Rainey Harper High School,609711,32,31,No,49,73.0,94.7,HS
West Ridge Elementary School,610542,,,No,46,94.9,0.0,ES
John T Pirie Fine Arts & Academic Center Elementary School,610130,44,46,No,,93.5,95.4,ES
Norwood Park Elementary School,610099,86,32,Yes,57,95.5,95.6,ES
Parkside Elementary Community Academy,610116,,,No,42,89.8,94.9,ES
Victor Herbert Elementary School,609989,52,50,No,50,92.8,96.2,ES
Paul Robeson High School,609707,,,No,,73.5,94.7,HS
Francis W Parker Elementary Community Academy,610112,,,No,48,91.9,94.9,ES
Arnold Mireles Elementary Academy,610171,,,No,48,92.8,95.2,ES
Arthur Dixon Elementary School,609887,,,No,,94.8,95.6,ES
Ernst Prussing Elementary School,610137,,,No,43,95.4,96.0,ES
Johann W von Goethe Elementary School,609942,61,69,No,57,95.8,97.0,ES
Belmont-Cragin Elementary School,609922,81,53,No,55,95.3,96.8,ES
Foster Park Elementary School,609927,41,46,No,46,93.7,94.7,ES
John Greenleaf Whittier Elementary School,610228,,,No,,94.9,96.5,ES
Carter G Woodson South Elementary School,610345,27,41,No,44,91.9,94.7,ES
Gage Park High School,609709,43,35,No,,72.5,94.0,HS
John Spry Elementary Community School,610184,59,43,No,46,96.2,97.4,ES
Alice L Barnard Computer Math & Science Center Elementary School,609788,,,No,69,95.6,95.0,ES
Ralph H Metcalfe Elementary Community Academy,609902,,,No,48,94.9,95.5,ES
Esmond Elementary School,609908,,,No,49,92.9,95.7,ES
Medgar Evers Elementary School,610362,,,No,56,94.9,96.1,ES
William W Carter Elementary School,609844,49,62,No,46,91.2,95.9,ES
Frederick Funston Elementary School,609930,,,No,40,94.7,95.4,ES
Pablo Casals Elementary School,610021,,,No,42,92.0,95.9,ES
George M Pullman Elementary School,610139,,,No,50,93.5,96.2,ES
Nicholas Senn High School,609730,,,No,,81.7,96.4,HS
Amos Alonzo Stagg Elementary School,610339,35,42,No,44,91.4,95.5,ES
Barbara Vick Early Childhood & Family Center,609871,,,,66,60.9,95.5,ES
John J Audubon Elementary School,609782,73,65,Yes,61,96.2,96.7,ES
John Milton Gregory Elementary School,609954,43,59,No,49,95.2,94.6,ES
Calmeca Academy of Fine Arts and Dual Language,610353,67,55,No,51,96.5,96.9,ES
Edgar Allan Poe Elementary Classical School,610132,33,41,Yes,55,97.6,97.2,ES
John Harvard Elementary School of Excellence,609971,24,36,No,47,93.0,96.0,ES
Grover Cleveland Elementary School,609857,43,44,No,49,95.0,96.3,ES
William Howard Taft High School,609734,,,No,,89.1,96.1,HS
Jean Baptiste Beaubien Elementary School,609796,,,Yes,,95.7,96.3,ES
Annie Keller Elementary Gifted Magnet School,610084,97,82,Yes,68,97.5,96.5,ES
Ogden International High School,610529,,,Yes,,94.2,0.0,HS
Charles Kozminski Elementary Community Academy,610030,,,No,39,92.0,94.4,ES
Nathanael Greene Elementary School,609952,,,No,48,95.5,96.2,ES
Alexander Hamilton Elementary School,609963,64,48,No,57,95.3,97.4,ES
Ravenswood Elementary School,610141,,,No,53,94.9,95.7,ES
Minnie Mars Jamieson Elementary School,610011,50,41,No,52,95.7,96.2,ES
Brian Piccolo Elementary Specialty School,610106,,,No,,90.6,95.0,ES
Joseph Stockton Elementary School,610189,,,No,,94.9,95.3,ES
Emmett Louis Till Math and Science Academy,610065,31,42,No,47,88.0,93.3,ES
Theodore Herzl Elementary School,609991,,,No,,90.8,97.0,ES
Bernhard Moos Elementary School,610076,34,31,No,,93.0,96.3,ES
Ronald E McNair Elementary School,610282,30,20,No,47,90.7,96.5,ES
Lincoln Park High School,609738,61,45,No,,84.6,96.0,HS
Irma C Ruiz Elementary School,610125,59,56,No,50,95.5,95.0,ES
Galileo Math & Science Scholastic Academy Elementary School,610009,52,33,Yes,49,95.0,97.0,ES
Mahalia Jackson Elementary School,610369,,,No,46,92.5,94.6,ES
